time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,0.9994,2.4422,0.0024,1.0,707.0,92.725,0.13
0.04,0.9994,2.4422,0.0024,1.0,707.0,92.725,0.13
0.06,0.9994,2.4422,0.0024,1.0,708.0,92.725,0.13
0.08,0.9994,2.4422,0.0024,1.0,708.0,92.725,0.13
0.1,0.9994,2.4422,0.0024,1.0,705.0,92.725,0.13
0.12,0.9994,2.4422,0.0024,1.0,717.0,92.725,0.13
0.14,0.9994,2.4422,0.0024,1.0,717.0,92.725,0.13
0.16,0.9994,2.4422,0.0024,1.0,710.0,97.725,0.12
0.18,0.9994,2.4422,0.0024,1.0,704.0,97.725,0.12
0.2,0.9994,2.4422,0.0023,1.0,704.0,97.7364,0.12
0.22,0.9994,2.4422,0.0024,1.0,707.0,97.725,0.12
0.24,0.9994,2.4422,0.0024,1.0,707.0,97.725,0.12
0.26,0.9994,2.4422,0.0023,1.0,711.0,97.7364,0.12
0.28,0.9994,2.4422,0.0023,1.0,704.0,97.7364,0.12
0.3,0.9994,2.4422,0.0024,1.0,704.0,97.725,0.12
0.32,0.9994,2.4422,0.0024,1.0,708.0,97.725,0.12
0.34,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.36,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.38,0.9994,2.4422,0.0024,1.0,707.0,97.725,0.12
0.4,0.9994,2.4422,0.0024,1.0,710.0,97.725,0.12
0.42,0.9994,2.4422,0.0024,1.0,710.0,97.725,0.12
0.44,0.9994,2.4422,0.0024,1.0,707.0,97.725,0.12
0.46,0.9994,2.4422,0.0024,1.0,707.0,97.725,0.12
0.48,0.9994,2.4422,0.0024,1.0,711.0,97.725,0.12
0.5,0.9994,2.4422,0.0024,1.0,712.0,97.725,0.12
0.52,0.9994,2.4422,0.0024,1.0,712.0,97.725,0.12
0.54,0.9994,2.4422,0.0024,1.0,715.0,97.725,0.12
0.56,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.58,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.6,0.9994,2.4422,0.0024,1.0,706.0,97.725,0.12
0.62,0.9994,2.4422,0.0024,1.0,710.0,97.725,0.12
0.64,0.9994,2.4422,0.0024,1.0,710.0,97.725,0.12
0.66,0.9994,2.4422,0.0024,1.0,713.0,97.725,0.12
0.68,0.9994,2.4422,0.0024,1.0,713.0,97.725,0.12
0.7,0.9994,2.4422,0.0024,1.0,705.0,97.725,0.12
0.72,0.9994,2.4422,0.0024,1.0,713.0,97.725,0.12
0.74,0.9994,2.4422,0.0024,1.0,713.0,97.725,0.12
0.76,0.9994,2.4422,0.0024,1.0,704.0,97.725,0.12
0.78,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.8,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.82,0.9994,2.4422,0.0024,1.0,714.0,97.725,0.12
0.84,0.9994,2.4422,0.0024,1.0,714.0,97.725,0.12
0.86,0.9994,2.4422,0.0024,1.0,709.0,97.725,0.12
0.88,0.9994,2.4422,0.0024,1.0,708.0,97.725,0.12
0.9,0.9994,2.4422,0.0024,1.0,708.0,97.725,0.12
0.92,0.9994,2.4422,0.0024,1.0,715.0,97.725,0.12
0.94,0.9994,2.4422,0.0024,1.0,715.0,97.725,0.12
0.96,0.9994,2.4422,0.0024,1.0,708.0,97.725,0.12
0.98,0.9994,2.4422,0.0024,1.0,712.0,97.725,0.12
1.0,0.9994,2.4422,0.0024,1.0,712.0,97.725,0.12
1.02,0.9994,2.4422,0.0024,1.0,703.0,97.725,0.12
1.04,0.9994,2.4422,0.0024,1.0,712.0,97.725,0.12
1.06,0.9994,2.4422,0.0024,1.0,712.0,97.725,0.12
1.08,0.9994,2.4422,0.0024,1.0,711.0,97.725,0.12
1.1,0.9994,2.4422,0.0024,1.0,709.0,91.725,0.08
1.12,0.9994,2.4422,0.0024,1.0,709.0,91.725,0.08
1.14,0.9994,2.4422,0.0024,1.0,709.0,91.725,0.08
1.16,0.9994,2.4422,0.0024,1.0,707.0,91.725,0.08
1.18,0.9994,2.4422,0.0024,1.0,705.0,91.725,0.08
1.2,0.9994,2.4422,0.0024,1.0,708.0,91.725,0.08
1.22,0.9994,2.4422,0.0024,1.0,708.0,91.725,0.08
1.24,0.9994,2.4422,0.0024,1.0,707.0,91.725,0.08
1.26,0.9994,2.4422,0.0024,1.0,713.0,91.725,0.08
1.28,0.9994,2.4422,0.0024,1.0,713.0,91.725,0.08
1.3,0.9994,2.4422,0.0023,1.0,711.0,91.7364,0.08
1.32,0.9994,2.4422,0.0023,1.0,704.0,91.7364,0.08
1.34,0.9994,2.4422,0.0023,1.0,704.0,91.7364,0.08
1.36,0.9994,2.4422,0.0024,1.0,710.0,91.725,0.08
1.38,0.9994,2.4422,0.0024,1.0,707.0,91.725,0.08
1.4,0.9994,2.4422,0.0024,1.0,707.0,91.725,0.08
1.42,0.9994,2.4422,0.0024,1.0,705.0,91.725,0.08
1.44,0.9994,2.4422,0.0024,1.0,705.0,91.725,0.08
1.46,0.9994,2.4422,0.0024,1.0,708.0,91.725,0.08
1.48,0.9994,2.4422,0.0024,1.0,708.0,91.725,0.08
1.5,0.9994,2.4422,0.0024,1.0,708.0,91.725,0.08
1.52,0.9994,2.4422,0.0024,1.0,706.0,91.725,0.08
