time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.04,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.06,1.5983,2.4507,-0.646,0.7633,710.0,108.4842,0.11
0.08,1.5983,2.4507,-0.646,0.7633,710.0,108.4842,0.11
0.1,1.5983,2.4507,-0.646,0.7633,715.0,108.4842,0.11
0.12,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.14,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.16,1.5983,2.4507,-0.646,0.7633,704.0,108.4842,0.11
0.18,1.5983,2.4507,-0.646,0.7633,712.0,108.4842,0.11
0.2,1.5983,2.4507,-0.646,0.7633,712.0,108.4842,0.11
0.22,1.5983,2.4507,-0.646,0.7633,712.0,108.4842,0.11
0.24,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.26,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.28,1.5983,2.4507,-0.646,0.7633,709.0,108.4842,0.11
0.3,1.5983,2.4507,-0.646,0.7633,706.0,108.4842,0.11
0.32,1.5983,2.4507,-0.646,0.7633,706.0,108.4842,0.11
0.34,1.5983,2.4507,-0.646,0.7633,714.0,108.4842,0.11
0.36,1.5983,2.4507,-0.646,0.7633,714.0,108.4842,0.11
0.38,1.5983,2.4507,-0.646,0.7633,702.0,108.4842,0.11
0.4,1.5983,2.4507,-0.646,0.7633,706.0,108.4842,0.11
0.42,1.5983,2.4507,-0.646,0.7633,706.0,108.4842,0.11
0.44,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.46,1.5983,2.4507,-0.646,0.7633,707.0,108.4842,0.11
0.48,1.5983,2.4507,-0.646,0.7633,707.0,108.4842,0.11
0.5,1.5983,2.4507,-0.646,0.7633,711.0,108.4842,0.11
0.52,1.5983,2.4507,-0.646,0.7633,708.0,108.4842,0.11
0.54,1.5983,2.4507,-0.646,0.7633,708.0,108.4842,0.11
0.56,1.5983,2.4507,-0.646,0.7633,709.0,108.4842,0.11
0.58,1.5983,2.4507,-0.646,0.7633,709.0,108.4842,0.11
0.6,1.5983,2.4507,-0.646,0.7633,708.0,108.4842,0.11
0.62,1.5983,2.4507,-0.646,0.7633,707.0,108.4842,0.11
0.64,1.5983,2.4507,-0.646,0.7633,707.0,108.4842,0.11
0.66,1.5983,2.4507,-0.646,0.7633,707.0,108.4842,0.11
0.68,1.5983,2.4507,-0.646,0.7633,706.0,108.4842,0.11
0.7,1.5983,2.4507,-0.646,0.7633,706.0,108.4842,0.11
