time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.04,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.06,1.1978,1.1702,0.7459,0.666,713.0,183.5221,1.46
0.08,1.1978,1.1702,0.7459,0.666,713.0,183.5221,1.46
0.1,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.12,1.1978,1.1702,0.7459,0.666,706.0,183.5221,1.46
0.14,1.1978,1.1702,0.7459,0.666,706.0,183.5221,1.46
0.16,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.18,1.1978,1.1702,0.7459,0.666,707.0,183.5221,1.46
0.2,1.1978,1.1702,0.7459,0.666,707.0,183.5221,1.46
0.22,1.1978,1.1702,0.7459,0.666,708.0,183.5221,1.46
0.24,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.26,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.28,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.3,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.32,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.34,1.1978,1.1702,0.7459,0.666,707.0,183.5221,1.46
0.36,1.1978,1.1702,0.7459,0.666,707.0,183.5221,1.46
0.38,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.4,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.42,1.1978,1.1702,0.7459,0.666,709.0,183.5221,1.46
0.44,1.1978,1.1702,0.7459,0.666,707.0,183.5221,1.46
0.46,1.1978,1.1702,0.7459,0.666,711.0,183.5221,1.46
0.48,1.1978,1.1702,0.7459,0.666,711.0,183.5221,1.46
0.5,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.52,1.1978,1.1702,0.7459,0.666,705.0,183.5221,1.46
0.54,1.1978,1.1702,0.7459,0.666,708.0,196.5221,1.02
0.56,1.1978,1.1702,0.7459,0.666,714.0,196.5221,1.02
0.58,1.1978,1.1702,0.7459,0.666,714.0,196.5221,1.02
0.6,1.1978,1.1702,0.7459,0.666,715.0,196.5221,1.02
0.62,1.1978,1.1702,0.7459,0.666,713.0,196.5221,1.02
0.64,1.1978,1.1702,0.7459,0.666,713.0,196.5221,1.02
0.66,1.1978,1.1702,0.7459,0.666,711.0,196.5221,1.02
0.68,1.1978,1.1702,0.7459,0.666,711.0,196.5221,1.02
0.7,1.1978,1.1702,0.7459,0.666,711.0,196.5221,1.02
0.72,1.1978,1.1702,0.7459,0.666,712.0,196.5221,1.02
0.74,1.1978,1.1702,0.7459,0.666,711.0,196.5221,1.02
