time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,2.2159,2.5777,-0.9993,0.038,720.0,133.6446,0.05
0.04,2.2159,2.5777,-0.9993,0.038,720.0,133.6446,0.05
0.06,2.2159,2.5777,-0.9993,0.038,719.0,133.6446,0.05
0.08,2.216,2.5777,-0.9993,0.038,719.0,133.6446,0.05
0.1,2.216,2.5777,-0.9993,0.038,719.0,133.6446,0.05
0.12,2.216,2.5777,-0.9993,0.038,720.0,133.6446,0.05
0.14,2.2159,2.5777,-0.9993,0.038,720.0,133.6446,0.05
0.16,2.2159,2.5777,-0.9993,0.038,715.0,355.6446,0.03
0.18,2.2159,2.5777,-0.9993,0.038,714.0,355.6446,0.03
0.2,2.216,2.5777,-0.9993,0.038,714.0,355.6446,0.03
0.22,2.2159,2.5777,-0.9993,0.038,721.0,355.6446,0.03
0.24,2.2159,2.5777,-0.9993,0.038,722.0,355.6446,0.03
0.26,2.216,2.5777,-0.9993,0.038,722.0,355.6446,0.03
0.28,2.2159,2.5777,-0.9993,0.038,718.0,355.6446,0.03
0.3,2.2159,2.5777,-0.9993,0.038,718.0,355.6446,0.03
0.32,2.2159,2.5777,-0.9993,0.038,724.0,355.6446,0.03
0.34,2.2159,2.5777,-0.9993,0.038,722.0,355.6446,0.03
0.36,2.2159,2.5777,-0.9993,0.038,722.0,355.6446,0.03
0.38,2.216,2.5777,-0.9993,0.038,720.0,355.6446,0.03
0.4,2.216,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.42,2.2159,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.44,2.216,2.5777,-0.9993,0.038,723.0,355.6446,0.03
0.46,2.216,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.48,2.216,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.5,2.2159,2.5777,-0.9993,0.038,722.0,355.6446,0.03
0.52,2.2159,2.5777,-0.9993,0.038,722.0,355.6446,0.03
0.54,2.2159,2.5777,-0.9993,0.038,720.0,355.6446,0.03
0.56,2.2159,2.5777,-0.9993,0.038,723.0,355.6446,0.03
0.58,2.216,2.5777,-0.9993,0.038,723.0,355.6446,0.03
0.6,2.2159,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.62,2.2159,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.64,2.2159,2.5777,-0.9993,0.038,717.0,355.6446,0.03
0.66,2.216,2.5777,-0.9993,0.038,720.0,355.6446,0.03
0.68,2.216,2.5777,-0.9993,0.038,716.0,355.6446,0.03
0.7,2.216,2.5777,-0.9993,0.038,716.0,355.6446,0.03
0.72,2.216,2.5777,-0.9993,0.038,723.0,355.6446,0.03
0.74,2.2159,2.5777,-0.9993,0.038,714.0,355.6446,0.03
0.76,2.2159,2.5777,-0.9993,0.038,714.0,355.6446,0.03
0.78,2.2159,2.5777,-0.9993,0.038,716.0,355.6446,0.03
0.8,2.2159,2.5777,-0.9993,0.038,716.0,355.6446,0.03
0.82,2.2159,2.5777,-0.9993,0.038,716.0,355.6446,0.03
0.84,2.2159,2.5777,-0.9993,0.038,719.0,355.6446,0.03
0.86,2.2159,2.5777,-0.9993,0.038,719.0,355.6446,0.03
0.88,2.2159,2.5777,-0.9993,0.038,715.0,355.6446,0.03
0.9,2.2159,2.5777,-0.9993,0.038,718.0,355.6446,0.03
0.92,2.2159,2.5777,-0.9993,0.038,718.0,355.6446,0.03
0.94,2.216,2.5777,-0.9993,0.038,719.0,355.6446,0.03
0.96,2.216,2.5777,-0.9993,0.038,719.0,355.6446,0.03
0.98,2.2159,2.5777,-0.9993,0.038,720.0,355.6446,0.03
1.0,2.2159,2.5777,-0.9993,0.038,721.0,355.6446,0.03
1.02,2.2159,2.5777,-0.9993,0.038,720.0,355.6446,0.03
1.04,2.216,2.5777,-0.9993,0.038,720.0,355.6446,0.03
1.06,2.216,2.5777,-0.9993,0.038,717.0,355.6446,0.03
1.08,2.216,2.5777,-0.9993,0.038,717.0,355.6446,0.03
1.1,2.216,2.5777,-0.9993,0.038,722.0,355.6446,0.03
1.12,2.216,2.5777,-0.9993,0.038,721.0,355.6446,0.03
1.14,2.2159,2.5777,-0.9993,0.038,721.0,355.6446,0.03
1.16,2.2159,2.5777,-0.9993,0.038,718.0,355.6446,0.03
1.18,2.2159,2.5777,-0.9993,0.038,717.0,355.6446,0.08
1.2,2.2159,2.5777,-0.9993,0.038,717.0,47.6446,0.08
1.22,2.2159,2.5777,-0.9993,0.038,718.0,47.6446,0.08
1.24,2.2159,2.5777,-0.9993,0.038,718.0,47.6446,0.08
1.26,2.216,2.5777,-0.9993,0.038,721.0,47.6446,0.08
