time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,0.7248,0.4912,-0.025,0.9997,691.0,239.8651,0.26
0.04,0.7248,0.4912,-0.025,0.9997,691.0,239.8651,0.26
0.06,0.7248,0.4912,-0.025,0.9997,692.0,239.8651,0.26
0.08,0.7248,0.4912,-0.025,0.9997,692.0,239.8651,0.26
0.1,0.7248,0.4912,-0.025,0.9997,694.0,239.8651,0.26
0.12,0.7248,0.4912,-0.025,0.9997,691.0,239.8651,0.26
0.14,0.7248,0.4912,-0.025,0.9997,691.0,239.8651,0.26
0.16,0.7248,0.4912,-0.025,0.9997,690.0,239.8651,0.26
0.18,0.7248,0.4912,-0.025,0.9997,690.0,239.8651,0.26
0.2,0.7248,0.4912,-0.025,0.9997,691.0,239.8651,0.26
0.22,0.7248,0.4912,-0.025,0.9997,698.0,239.8651,0.26
0.24,0.7248,0.4912,-0.025,0.9997,698.0,239.8651,0.26
0.26,0.7248,0.4912,-0.025,0.9997,696.0,239.8651,0.26
0.28,0.7248,0.4912,-0.025,0.9997,693.0,239.8651,0.26
0.3,0.7248,0.4912,-0.025,0.9997,693.0,239.8651,0.26
0.32,0.7248,0.4912,-0.025,0.9997,684.0,239.8651,0.26
0.34,0.7248,0.4912,-0.025,0.9997,698.0,239.8651,0.26
0.36,0.7248,0.4912,-0.025,0.9997,698.0,239.8651,0.26
0.38,0.7248,0.4912,-0.025,0.9997,693.0,239.8651,0.26
0.4,0.7248,0.4912,-0.025,0.9997,693.0,239.8651,0.26
0.42,0.7248,0.4912,-0.025,0.9997,690.0,239.8651,0.26
0.44,0.7248,0.4912,-0.025,0.9997,689.0,239.8651,0.26
0.46,0.7248,0.4912,-0.025,0.9997,689.0,239.8651,0.26
0.48,0.7248,0.4912,-0.025,0.9997,693.0,239.8651,0.26
0.5,0.7248,0.4912,-0.025,0.9997,702.0,239.8651,0.26
0.52,0.7248,0.4912,-0.025,0.9997,702.0,239.8651,0.26
0.54,0.7248,0.4912,-0.025,0.9997,697.0,239.8651,0.26
0.56,0.7248,0.4912,-0.025,0.9997,697.0,239.8651,0.26
0.58,0.7248,0.4912,-0.025,0.9997,696.0,239.8651,0.26
0.6,0.7248,0.4912,-0.025,0.9997,692.0,239.8651,0.26
0.62,0.7248,0.4912,-0.025,0.9997,692.0,239.8651,0.26
0.64,0.7248,0.4912,-0.025,0.9997,694.0,201.8651,0.16
0.66,0.7248,0.4912,-0.025,0.9997,690.0,201.8651,0.16
0.68,0.7248,0.4912,-0.025,0.9997,690.0,201.8651,0.16
0.7,0.7248,0.4912,-0.025,0.9997,701.0,201.8651,0.16
