time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,0.9893,2.4439,-0.6632,0.7485,709.0,152.0844,0.13
0.04,0.9893,2.4439,-0.6632,0.7485,704.0,152.0844,0.13
0.06,0.9893,2.4439,-0.6632,0.7485,708.0,152.0844,0.13
0.08,0.9893,2.4439,-0.6632,0.7485,708.0,152.0844,0.13
0.1,0.9893,2.4439,-0.6632,0.7485,708.0,152.0844,0.13
0.12,0.9893,2.4439,-0.6632,0.7485,706.0,152.0844,0.13
0.14,0.9893,2.4439,-0.6632,0.7485,706.0,152.0844,0.13
0.16,0.9893,2.4439,-0.6632,0.7485,704.0,152.0844,0.13
0.18,0.9893,2.4439,-0.6632,0.7485,706.0,152.0844,0.13
0.2,0.9893,2.4439,-0.6632,0.7485,706.0,152.0844,0.13
0.22,0.9893,2.4439,-0.6632,0.7485,706.0,152.0844,0.13
0.24,0.9893,2.4439,-0.6632,0.7485,706.0,152.0844,0.13
0.26,0.9893,2.4439,-0.6632,0.7485,708.0,152.0844,0.13
0.28,0.9893,2.4439,-0.6632,0.7485,704.0,152.0844,0.13
0.3,0.9893,2.4439,-0.6632,0.7485,704.0,152.0844,0.13
0.32,0.9893,2.4439,-0.6632,0.7485,707.0,152.0844,0.13
0.34,0.9893,2.4439,-0.6632,0.7485,711.0,163.0844,0.2
0.36,0.9893,2.4439,-0.6632,0.7485,711.0,163.0844,0.2
0.38,0.9893,2.4439,-0.6632,0.7485,700.0,163.0844,0.2
0.4,0.9893,2.4439,-0.6632,0.7485,700.0,163.0844,0.2
0.42,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
0.44,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
0.46,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
0.48,0.9893,2.4439,-0.6632,0.7485,706.0,163.0844,0.2
0.5,0.9893,2.4439,-0.6632,0.7485,706.0,163.0844,0.2
0.52,0.9893,2.4439,-0.6632,0.7485,711.0,163.0844,0.2
0.54,0.9893,2.4439,-0.6632,0.7485,701.0,163.0844,0.2
0.56,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
0.58,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
0.6,0.9893,2.4439,-0.6632,0.7485,705.0,163.0844,0.2
0.62,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
0.64,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
0.66,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
0.68,0.9893,2.4439,-0.6632,0.7485,705.0,163.0844,0.2
0.7,0.9893,2.4439,-0.6632,0.7485,711.0,163.0844,0.2
0.72,0.9893,2.4439,-0.6632,0.7485,704.0,163.0844,0.2
0.74,0.9893,2.4439,-0.6632,0.7485,704.0,163.0844,0.2
0.76,0.9893,2.4439,-0.6632,0.7485,712.0,163.0844,0.2
0.78,0.9893,2.4439,-0.6632,0.7485,712.0,163.0844,0.2
0.8,0.9893,2.4439,-0.6632,0.7485,709.0,163.0844,0.2
0.82,0.9893,2.4439,-0.6632,0.7485,706.0,163.0844,0.2
0.84,0.9893,2.4439,-0.6632,0.7485,706.0,163.0844,0.2
0.86,0.9893,2.4439,-0.6632,0.7485,700.0,163.0844,0.2
0.88,0.9893,2.4439,-0.6632,0.7485,706.0,163.0844,0.2
0.9,0.9893,2.4439,-0.6632,0.7485,706.0,163.0844,0.2
0.92,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
0.94,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
0.96,0.9893,2.4439,-0.6632,0.7485,707.0,163.0844,0.2
0.98,0.9893,2.4439,-0.6632,0.7485,702.0,163.0844,0.2
1.0,0.9893,2.4439,-0.6632,0.7485,702.0,163.0844,0.2
1.02,0.9893,2.4439,-0.6632,0.7485,707.0,163.0844,0.2
1.04,0.9893,2.4439,-0.6632,0.7485,707.0,163.0844,0.2
1.06,0.9893,2.4439,-0.6632,0.7485,705.0,163.0844,0.2
1.08,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
1.1,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
1.12,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
1.14,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
1.16,0.9893,2.4439,-0.6632,0.7485,711.0,163.0844,0.2
1.18,0.9893,2.4439,-0.6632,0.7485,711.0,163.0844,0.2
1.2,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
1.22,0.9893,2.4439,-0.6632,0.7485,710.0,163.0844,0.2
1.24,0.9893,2.4439,-0.6632,0.7485,703.0,163.0844,0.2
1.26,0.9893,2.4439,-0.6632,0.7485,704.0,163.0844,0.2
1.28,0.9893,2.4439,-0.6632,0.7485,704.0,163.0844,0.2
1.3,0.9893,2.4439,-0.6632,0.7485,706.0,169.0844,0.19
1.32,0.9893,2.4439,-0.6632,0.7485,705.0,169.0844,0.19
1.34,0.9893,2.4439,-0.6632,0.7485,705.0,169.0844,0.19
1.36,0.9893,2.4439,-0.6632,0.7485,704.0,169.0844,0.19
1.38,0.9893,2.4439,-0.6632,0.7485,704.0,169.0844,0.19
1.4,0.9893,2.4439,-0.6632,0.7485,705.0,169.0844,0.19
1.42,0.9893,2.4439,-0.6632,0.7485,710.0,169.0844,0.19
1.44,0.9893,2.4439,-0.6632,0.7485,710.0,169.0844,0.19
1.46,0.9893,2.4439,-0.6632,0.7485,708.0,169.0844,0.19
1.48,0.9893,2.4439,-0.6632,0.7485,701.0,169.0844,0.19
1.5,0.9893,2.4439,-0.6632,0.7485,701.0,169.0844,0.19
1.52,0.9893,2.4439,-0.6632,0.7485,709.0,169.0844,0.19
1.54,0.9893,2.4439,-0.6632,0.7485,709.0,169.0844,0.19
1.56,0.9893,2.4439,-0.6632,0.7485,708.0,169.0844,0.19
1.58,0.9893,2.4439,-0.6632,0.7485,713.0,169.0844,0.19
1.6,0.9893,2.4439,-0.6632,0.7485,713.0,169.0844,0.19
1.62,0.9893,2.4439,-0.6632,0.7485,706.0,169.0844,0.19
1.64,0.9893,2.4439,-0.6632,0.7485,711.0,169.0844,0.19
1.66,0.9893,2.4439,-0.6632,0.7485,704.0,169.0844,0.19
1.68,0.9893,2.4439,-0.6632,0.7485,704.0,169.0844,0.19
1.7,0.9893,2.4439,-0.6632,0.7485,701.0,169.0844,0.19
1.72,0.9893,2.4439,-0.6632,0.7485,701.0,169.0844,0.19
1.74,0.9893,2.4439,-0.6632,0.7485,713.0,169.0844,0.19
1.76,0.9893,2.4439,-0.6632,0.7485,707.0,169.0844,0.19
1.78,0.9893,2.4439,-0.6632,0.7485,709.0,169.0844,0.19
1.8,0.9893,2.4439,-0.6632,0.7485,709.0,169.0844,0.19
1.82,0.9893,2.4439,-0.6632,0.7485,703.0,169.0844,0.19
1.84,0.9893,2.4439,-0.6632,0.7485,703.0,169.0844,0.19
1.86,0.9893,2.4439,-0.6632,0.7485,703.0,169.0844,0.19
1.88,0.9893,2.4439,-0.6632,0.7485,711.0,169.0844,0.19
1.9,0.9893,2.4439,-0.6632,0.7485,711.0,169.0844,0.19
1.92,0.9893,2.4439,-0.6632,0.7485,706.0,169.0844,0.19
1.94,0.9893,2.4439,-0.6632,0.7485,701.0,169.0844,0.19
1.96,0.9893,2.4439,-0.6632,0.7485,701.0,169.0844,0.19
1.98,0.9893,2.4439,-0.6632,0.7485,704.0,169.0844,0.19
2.0,0.9893,2.4439,-0.6632,0.7485,707.0,169.0844,0.19
2.02,0.9893,2.4439,-0.6632,0.7485,707.0,169.0844,0.19
2.04,0.9893,2.4439,-0.6632,0.7485,711.0,169.0844,0.19
2.06,0.9893,2.4439,-0.6632,0.7485,699.0,169.0844,0.19
2.08,0.9893,2.4439,-0.6632,0.7485,699.0,169.0844,0.19
2.1,0.9893,2.4439,-0.6632,0.7485,713.0,169.0844,0.19
2.12,0.9893,2.4439,-0.6632,0.7485,708.0,169.0844,0.19
2.14,0.9893,2.4439,-0.6632,0.7485,708.0,169.0844,0.19
2.16,0.9893,2.4439,-0.6632,0.7485,711.0,169.0844,0.19
2.18,0.9893,2.4439,-0.6632,0.7485,710.0,169.0844,0.19
2.2,0.9893,2.4439,-0.6632,0.7485,710.0,169.0844,0.19
2.22,0.9893,2.4439,-0.6632,0.7485,713.0,156.0844,0.19
2.24,0.9893,2.4439,-0.6632,0.7485,713.0,156.0844,0.19
2.26,0.9893,2.4439,-0.6632,0.7485,705.0,156.0844,0.19
