time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,1.3788,-0.0379,0.7678,0.6407,706.0,-67.3126,0.22
0.04,1.3788,-0.038,0.7678,0.6407,706.0,-67.3126,0.22
0.06,1.3788,-0.0379,0.7678,0.6407,700.0,-67.3126,0.22
0.08,1.3788,-0.0379,0.7678,0.6407,697.0,-67.3126,0.22
0.1,1.3788,-0.038,0.7678,0.6407,697.0,-67.3126,0.22
0.12,1.3788,-0.0379,0.7678,0.6407,705.0,-67.3126,0.22
0.14,1.3788,-0.0379,0.7678,0.6407,705.0,-67.3126,0.22
0.16,1.3788,-0.0379,0.7678,0.6407,696.0,-67.3126,0.22
0.18,1.3788,-0.0379,0.7678,0.6407,707.0,-67.3126,0.22
0.2,1.3788,-0.0379,0.7678,0.6407,707.0,-67.3126,0.22
0.22,1.3788,-0.038,0.7678,0.6407,703.0,-67.3126,0.22
0.24,1.3788,-0.038,0.7678,0.6407,699.0,-67.3126,0.22
0.26,1.3788,-0.0379,0.7678,0.6407,699.0,-67.3126,0.22
0.28,1.3788,-0.0379,0.7678,0.6407,695.0,-67.3126,0.22
0.3,1.3788,-0.0379,0.7678,0.6407,695.0,-67.3126,0.22
0.32,1.3788,-0.0379,0.7678,0.6407,705.0,-67.3126,0.22
0.34,1.3788,-0.0379,0.7678,0.6407,704.0,-67.3126,0.22
0.36,1.3788,-0.0379,0.7678,0.6407,704.0,-67.3126,0.22
0.38,1.3788,-0.0379,0.7678,0.6407,705.0,-67.3126,0.22
0.4,1.3788,-0.0379,0.7678,0.6407,697.0,-67.3126,0.22
0.42,1.3788,-0.038,0.7678,0.6407,697.0,-67.3126,0.22
0.44,1.3788,-0.0379,0.7678,0.6407,698.0,-67.3126,0.22
0.46,1.3788,-0.0379,0.7678,0.6407,698.0,-67.3126,0.22
0.48,1.3788,-0.038,0.7678,0.6407,706.0,-67.3126,0.22
0.5,1.3788,-0.038,0.7678,0.6407,697.0,-67.3126,0.22
0.52,1.3788,-0.038,0.7678,0.6407,697.0,-67.3126,0.22
0.54,1.3788,-0.0379,0.7678,0.6407,704.0,-67.3126,0.22
0.56,1.3788,-0.0379,0.7678,0.6407,704.0,-67.3126,0.22
0.58,1.3788,-0.038,0.7678,0.6407,704.0,-67.3126,0.22
0.6,1.3788,-0.0379,0.7678,0.6407,695.0,-67.3126,0.22
0.62,1.3788,-0.0379,0.7678,0.6407,699.0,-67.3126,0.22
0.64,1.3788,-0.0379,0.7678,0.6407,699.0,-67.3126,0.22
0.66,1.3788,-0.0379,0.7678,0.6407,700.0,-67.3126,0.22
0.68,1.3788,-0.0379,0.7678,0.6407,700.0,-67.3126,0.22
0.7,1.3788,-0.0379,0.7678,0.6407,699.0,-67.3126,0.22
0.72,1.3788,-0.0379,0.7678,0.6407,697.0,-67.3126,0.22
0.74,1.3788,-0.0379,0.7678,0.6407,697.0,-67.3126,0.22
0.76,1.3788,-0.0379,0.7678,0.6407,702.0,-67.3126,0.22
0.78,1.3788,-0.0379,0.7678,0.6407,706.0,-61.3126,0.2
0.8,1.3788,-0.038,0.7678,0.6407,706.0,-61.3126,0.2
0.82,1.3788,-0.0379,0.7678,0.6407,704.0,-61.3126,0.2
0.84,1.3788,-0.0379,0.7678,0.6407,704.0,-61.3126,0.2
0.86,1.3788,-0.0379,0.7678,0.6407,700.0,-61.3126,0.2
0.88,1.3788,-0.0379,0.7678,0.6407,703.0,-61.3126,0.2
0.9,1.3788,-0.0379,0.7678,0.6407,703.0,-61.3126,0.2
0.92,1.3788,-0.0379,0.7678,0.6407,704.0,-61.3126,0.2
0.94,1.3788,-0.0379,0.7678,0.6407,699.0,-61.3126,0.2
0.96,1.3788,-0.0379,0.7678,0.6407,699.0,-61.3126,0.2
0.98,1.3788,-0.0379,0.7678,0.6407,701.0,-61.3126,0.2
1.0,1.3788,-0.0379,0.7678,0.6407,701.0,-61.3126,0.2
