time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,-0.0257,0.9698,-0.0154,0.9999,691.0,201.7647,0.74
0.04,-0.0257,0.9698,-0.0154,0.9999,691.0,201.7647,0.74
0.06,-0.0257,0.9698,-0.0154,0.9999,684.0,201.7647,0.74
0.08,-0.0257,0.9698,-0.0154,0.9999,684.0,201.7647,0.74
0.1,-0.0257,0.9698,-0.0154,0.9999,689.0,201.7647,0.74
0.12,-0.0257,0.9698,-0.0154,0.9999,685.0,201.7647,0.74
0.14,-0.0257,0.9698,-0.0154,0.9999,685.0,201.7647,0.74
0.16,-0.0257,0.9698,-0.0154,0.9999,683.0,201.7647,0.74
0.18,-0.0257,0.9698,-0.0154,0.9999,683.0,201.7647,0.74
0.2,-0.0257,0.9698,-0.0154,0.9999,685.0,201.7647,0.74
0.22,-0.0257,0.9698,-0.0154,0.9999,688.0,201.7647,0.74
0.24,-0.0257,0.9698,-0.0154,0.9999,692.0,201.7647,0.74
0.26,-0.0257,0.9698,-0.0154,0.9999,692.0,201.7647,0.74
0.28,-0.0257,0.9698,-0.0154,0.9999,690.0,201.7647,0.74
0.3,-0.0257,0.9698,-0.0154,0.9999,689.0,201.7647,0.74
0.32,-0.0257,0.9698,-0.0154,0.9999,689.0,201.7647,0.74
0.34,-0.0257,0.9698,-0.0154,0.9999,686.0,201.7647,0.74
0.36,-0.0257,0.9698,-0.0154,0.9999,691.0,201.7647,0.74
0.38,-0.0257,0.9698,-0.0154,0.9999,691.0,201.7647,0.74
0.4,-0.0257,0.9698,-0.0154,0.9999,691.0,201.7647,0.74
0.42,-0.0257,0.9698,-0.0154,0.9999,688.0,201.7647,0.74
0.44,-0.0257,0.9698,-0.0154,0.9999,688.0,201.7647,0.74
0.46,-0.0257,0.9698,-0.0154,0.9999,686.0,201.7647,0.74
0.48,-0.0257,0.9698,-0.0154,0.9999,687.0,201.7647,0.74
0.5,-0.0257,0.9698,-0.0154,0.9999,687.0,201.7647,0.74
0.52,-0.0257,0.9698,-0.0154,0.9999,688.0,201.7647,0.74
