time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,0.122,0.4419,-0.6684,0.7438,685.0,147.8875,0.9
0.04,0.122,0.442,-0.6684,0.7438,685.0,147.8875,0.9
0.06,0.122,0.442,-0.6684,0.7438,692.0,147.8875,0.9
0.08,0.122,0.4419,-0.6684,0.7438,692.0,147.8875,0.9
0.1,0.122,0.4419,-0.6684,0.7438,696.0,190.8875,0.77
0.12,0.122,0.4419,-0.6684,0.7438,696.0,190.8875,0.77
0.14,0.122,0.4419,-0.6684,0.7438,688.0,190.8875,0.77
0.16,0.122,0.442,-0.6684,0.7438,685.0,190.8875,0.77
0.18,0.122,0.442,-0.6684,0.7438,686.0,190.8875,0.77
0.2,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.22,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.24,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.26,0.122,0.4419,-0.6684,0.7438,683.0,190.8875,0.77
0.28,0.122,0.4419,-0.6684,0.7438,683.0,190.8875,0.77
0.3,0.122,0.4419,-0.6684,0.7438,683.0,190.8875,0.77
0.32,0.122,0.4419,-0.6684,0.7438,690.0,190.8875,0.77
0.34,0.122,0.4419,-0.6684,0.7438,685.0,190.8875,0.77
0.36,0.122,0.4419,-0.6684,0.7438,685.0,190.8875,0.77
0.38,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.4,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.42,0.122,0.4419,-0.6684,0.7438,690.0,190.8875,0.77
0.44,0.122,0.4419,-0.6684,0.7438,690.0,190.8875,0.77
0.46,0.122,0.4419,-0.6684,0.7438,692.0,190.8875,0.77
0.48,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.5,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.52,0.122,0.4419,-0.6684,0.7438,679.0,190.8875,0.77
0.54,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.56,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.58,0.122,0.4419,-0.6684,0.7438,684.0,190.8875,0.77
0.6,0.122,0.4419,-0.6684,0.7438,684.0,190.8875,0.77
0.62,0.122,0.4419,-0.6684,0.7438,684.0,190.8875,0.77
0.64,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.66,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.68,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.7,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.72,0.122,0.4419,-0.6684,0.7438,681.0,190.8875,0.77
0.74,0.122,0.4419,-0.6684,0.7438,681.0,190.8875,0.77
0.76,0.122,0.4419,-0.6684,0.7438,687.0,190.8875,0.77
0.78,0.122,0.4419,-0.6684,0.7438,691.0,190.8875,0.77
0.8,0.122,0.4419,-0.6684,0.7438,691.0,190.8875,0.77
0.82,0.122,0.4419,-0.6684,0.7438,683.0,190.8875,0.77
0.84,0.122,0.4419,-0.6684,0.7438,689.0,190.8875,0.77
0.86,0.122,0.4419,-0.6684,0.7438,689.0,190.8875,0.77
0.88,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.9,0.122,0.4419,-0.6684,0.7438,689.0,190.8875,0.77
0.92,0.122,0.4419,-0.6684,0.7438,689.0,190.8875,0.77
0.94,0.122,0.4419,-0.6684,0.7438,686.0,190.8875,0.77
0.96,0.122,0.4419,-0.6684,0.7438,683.0,190.8875,0.77
0.98,0.122,0.4419,-0.6684,0.7438,683.0,190.8875,0.77
1.0,0.122,0.4419,-0.6684,0.7438,690.0,190.8875,0.77
1.02,0.122,0.4419,-0.6684,0.7438,692.0,201.8875,0.49
1.04,0.122,0.4419,-0.6684,0.7438,692.0,201.8875,0.49
1.06,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.08,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.1,0.122,0.4419,-0.6684,0.7438,691.0,201.8875,0.49
1.12,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.14,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.16,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.18,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.2,0.122,0.4419,-0.6684,0.7438,684.0,201.8875,0.49
1.22,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.24,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.26,0.122,0.4419,-0.6684,0.7438,689.0,201.8875,0.49
1.28,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.3,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.32,0.122,0.4419,-0.6684,0.7438,691.0,201.8875,0.49
1.34,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.36,0.122,0.442,-0.6684,0.7438,687.0,201.8875,0.49
1.38,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.4,0.122,0.4419,-0.6684,0.7438,685.0,201.8875,0.49
1.42,0.122,0.4419,-0.6684,0.7438,685.0,201.8875,0.49
1.44,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.46,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.48,0.122,0.442,-0.6684,0.7438,681.0,201.8875,0.49
1.5,0.122,0.442,-0.6684,0.7438,686.0,201.8875,0.49
1.52,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.54,0.122,0.4419,-0.6684,0.7438,690.0,201.8875,0.49
1.56,0.122,0.4419,-0.6684,0.7438,685.0,201.8875,0.49
1.58,0.122,0.4419,-0.6684,0.7438,685.0,201.8875,0.49
1.6,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.62,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.64,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.66,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.68,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.7,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.72,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.74,0.122,0.4419,-0.6685,0.7438,687.0,201.8961,0.49
1.76,0.122,0.4419,-0.6685,0.7438,686.0,201.8961,0.49
1.78,0.122,0.4419,-0.6684,0.7438,686.0,201.8875,0.49
1.8,0.122,0.442,-0.6684,0.7438,683.0,201.8875,0.49
1.82,0.122,0.442,-0.6684,0.7438,683.0,201.8875,0.49
1.84,0.122,0.4419,-0.6684,0.7438,683.0,201.8875,0.49
1.86,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.88,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.9,0.122,0.4419,-0.6684,0.7438,688.0,201.8875,0.49
1.92,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.94,0.122,0.4419,-0.6684,0.7438,687.0,201.8875,0.49
1.96,0.122,0.4419,-0.6684,0.7438,693.0,201.8875,0.49
1.98,0.122,0.4419,-0.6684,0.7438,690.0,175.8875,0.56
2.0,0.122,0.4419,-0.6684,0.7438,683.0,175.8875,0.56
2.02,0.122,0.4419,-0.6684,0.7438,683.0,175.8875,0.56
2.04,0.122,0.4419,-0.6684,0.7438,689.0,175.8875,0.56
2.06,0.122,0.4419,-0.6684,0.7438,689.0,175.8875,0.56
2.08,0.122,0.4419,-0.6684,0.7438,694.0,175.8875,0.56
2.1,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
2.12,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
2.14,0.122,0.4419,-0.6684,0.7438,682.0,175.8875,0.56
2.16,0.122,0.4419,-0.6684,0.7438,682.0,175.8875,0.56
2.18,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
2.2,0.122,0.4419,-0.6684,0.7438,683.0,175.8875,0.56
2.22,0.122,0.4419,-0.6684,0.7438,683.0,175.8875,0.56
2.24,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
2.26,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
2.28,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
2.3,0.122,0.4419,-0.6684,0.7438,685.0,175.8875,0.56
2.32,0.122,0.4419,-0.6684,0.7438,685.0,175.8875,0.56
2.34,0.122,0.4419,-0.6684,0.7438,695.0,175.8875,0.56
2.36,0.122,0.4419,-0.6684,0.7438,685.0,175.8875,0.56
2.38,0.122,0.4419,-0.6684,0.7438,685.0,175.8875,0.56
2.4,0.122,0.4419,-0.6684,0.7438,680.0,175.8875,0.56
2.42,0.122,0.4419,-0.6684,0.7438,684.0,175.8875,0.56
2.44,0.122,0.4419,-0.6684,0.7438,684.0,175.8875,0.56
2.46,0.122,0.4419,-0.6684,0.7438,687.0,175.8875,0.56
