time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,1.2033,1.172,0.0126,0.9999,711.0,199.5561,1.08
0.04,1.2033,1.172,0.0126,0.9999,711.0,199.5561,1.08
0.06,1.2033,1.172,0.0127,0.9999,704.0,199.5446,1.08
0.08,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.1,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.12,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.14,1.2033,1.172,0.0127,0.9999,703.0,199.5446,1.08
0.16,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.18,1.2033,1.172,0.0127,0.9999,700.0,199.5446,1.08
0.2,1.2033,1.172,0.0127,0.9999,700.0,199.5446,1.08
0.22,1.2033,1.172,0.0127,0.9999,699.0,199.5446,1.08
0.24,1.2033,1.172,0.0127,0.9999,705.0,199.5446,1.08
0.26,1.2033,1.172,0.0127,0.9999,705.0,199.5446,1.08
0.28,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.3,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.32,1.2033,1.172,0.0126,0.9999,701.0,199.5561,1.08
0.34,1.2033,1.172,0.0126,0.9999,702.0,199.5561,1.08
0.36,1.2033,1.172,0.0126,0.9999,702.0,199.5561,1.08
0.38,1.2033,1.172,0.0126,0.9999,706.0,199.5561,1.08
0.4,1.2033,1.172,0.0127,0.9999,706.0,199.5446,1.08
0.42,1.2033,1.172,0.0126,0.9999,701.0,199.5561,1.08
0.44,1.2033,1.172,0.0127,0.9999,709.0,199.5446,1.08
0.46,1.2033,1.172,0.0127,0.9999,709.0,199.5446,1.08
0.48,1.2033,1.172,0.0127,0.9999,702.0,199.5446,1.08
0.5,1.2033,1.172,0.0127,0.9999,704.0,199.5446,1.08
0.52,1.2033,1.172,0.0126,0.9999,704.0,199.5561,1.08
0.54,1.2033,1.172,0.0127,0.9999,704.0,199.5446,1.08
0.56,1.2033,1.172,0.0127,0.9999,703.0,199.5446,1.08
0.58,1.2033,1.172,0.0127,0.9999,703.0,199.5446,1.08
0.6,1.2033,1.172,0.0127,0.9999,707.0,199.5446,1.08
0.62,1.2033,1.172,0.0127,0.9999,707.0,199.5446,1.08
0.64,1.2033,1.172,0.0127,0.9999,705.0,199.5446,1.08
0.66,1.2033,1.172,0.0127,0.9999,703.0,199.5446,1.08
0.68,1.2033,1.172,0.0127,0.9999,703.0,199.5446,1.08
0.7,1.2033,1.172,0.0127,0.9999,700.0,199.5446,1.08
0.72,1.2033,1.172,0.0127,0.9999,700.0,199.5446,1.08
0.74,1.2033,1.172,0.0127,0.9999,702.0,199.5446,1.08
0.76,1.2033,1.172,0.0127,0.9999,700.0,199.5446,1.08
0.78,1.2033,1.172,0.0127,0.9999,700.0,199.5446,1.08
0.8,1.2033,1.172,0.0127,0.9999,706.0,172.5446,0.89
0.82,1.2033,1.172,0.0127,0.9999,705.0,172.5446,0.89
0.84,1.2033,1.172,0.0127,0.9999,705.0,172.5446,0.89
0.86,1.2033,1.172,0.0127,0.9999,701.0,172.5446,0.89
0.88,1.2033,1.172,0.0127,0.9999,701.0,172.5446,0.89
0.9,1.2033,1.172,0.0127,0.9999,701.0,172.5446,0.89
0.92,1.2033,1.172,0.0127,0.9999,708.0,172.5446,0.89
0.94,1.2033,1.172,0.0127,0.9999,708.0,172.5446,0.89
0.96,1.2033,1.172,0.0127,0.9999,707.0,172.5446,0.89
0.98,1.2033,1.172,0.0126,0.9999,705.0,172.5561,0.89
1.0,1.2033,1.172,0.0126,0.9999,705.0,172.5561,0.89
1.02,1.2033,1.172,0.0127,0.9999,708.0,172.5446,0.89
1.04,1.2033,1.172,0.0127,0.9999,704.0,172.5446,0.89
1.06,1.2033,1.172,0.0127,0.9999,704.0,172.5446,0.89
1.08,1.2033,1.172,0.0127,0.9999,705.0,172.5446,0.89
1.1,1.2033,1.172,0.0127,0.9999,705.0,172.5446,0.89
