time,x,y,behavior
0.03333333333333333,-2.938116755885888,1.5168392560535513,ObstacleAvoidance
0.06666666666666667,-2.9381258123936576,1.5168629498054245,ObstacleAvoidance
0.1,-2.9378456492343332,1.5161300947602454,ObstacleAvoidance
0.13333333333333333,-2.937090277826442,1.5141697847537772,In
0.16666666666666666,-2.93622346345005,1.5119541404157908,In
0.19999999999999998,-2.9352463057823703,1.509509944459534,In
0.2333333333333333,-2.9342460170974687,1.5070750497912795,In
0.26666666666666666,-2.933241995624716,1.5046966106420865,ObstacleAvoidance
0.3,-2.9321645113852783,1.5022119688229267,ObstacleAvoidance
0.3333333333333333,-2.931073221788222,1.4997610167873374,ObstacleAvoidance
0.36666666666666664,-2.9300011146066476,1.4974124832940985,In
0.39999999999999997,-2.928835183595402,1.494912080700333,In
0.4333333333333333,-2.927727746048212,1.4925520112586113,In
0.4666666666666666,-2.9266747140032465,1.4902782036946518,In
0.49999999999999994,-2.925553478968198,1.487812944290273,In
0.5333333333333333,-2.9244752110966536,1.4854394008507112,In
0.5666666666666667,-2.923370915567984,1.4830499018487635,In
0.6,-2.9222358241849253,1.4806468966784894,In
0.6333333333333333,-2.9210794696789275,1.4782540147691827,In
0.6666666666666666,-2.9199235278915374,1.4759172671793914,In
0.7,-2.9187338071536653,1.473569147103507,ObstacleAvoidance
0.7333333333333333,-2.9175564085584575,1.4713000221506085,ObstacleAvoidance
0.7666666666666666,-2.916345686523327,1.4690197765142152,ObstacleAvoidance
0.7999999999999999,-2.915064793148494,1.4666623364261877,In
0.8333333333333333,-2.9138254700688404,1.4644265074060416,In
0.8666666666666666,-2.912531012339387,1.4621054251344157,In
0.8999999999999999,-2.911233235034112,1.4597573079335935,In
0.9333333333333332,-2.910034509751512,1.4575569070692596,In
0.9666666666666666,-2.9088506533254033,1.455377251442723,In
0.9999999999999999,-2.9076045232606944,1.453116156601826,In
1.0333333333333332,-2.906289365088173,1.450777742735966,In
1.0666666666666667,-2.9049278736619173,1.4484073908959259,In
1.1,-2.903596100760971,1.4461367961173395,In
1.1333333333333335,-2.9023214384457034,1.4440089444066084,In
1.166666666666667,-2.9009594982136684,1.4417859171097955,In
1.2000000000000004,-2.899561766085632,1.4395553104156715,In
1.2333333333333338,-2.898169717651962,1.4373810064019839,ObstacleAvoidance
1.2666666666666673,-2.8967014295960616,1.4351355049313255,ObstacleAvoidance
1.3000000000000007,-2.895211088546168,1.4329046349132624,ObstacleAvoidance
1.3333333333333341,-2.8937271972792806,1.4307303818715733,ObstacleAvoidance
1.3666666666666676,-2.8922107737406564,1.4285478555155795,In
1.400000000000001,-2.890688524516525,1.4263693388203846,In
1.4333333333333345,-2.8891898094732724,1.4242053837150046,In
1.466666666666668,-2.8877083111863104,1.4220295989093876,ObstacleAvoidance
1.5000000000000013,-2.886258258118116,1.4198630697841383,ObstacleAvoidance
1.5333333333333348,-2.88476108051844,1.4176063560446481,ObstacleAvoidance
1.5666666666666682,-2.8832646601558003,1.4153490625752427,In
1.6000000000000016,-2.8817948465270367,1.4131349059457878,In
1.633333333333335,-2.8789230716301706,1.4087831603758758,In
1.6666666666666685,-2.8774730141453704,1.4065559805958239,In
1.700000000000002,-2.8760297791702203,1.4043243282680768,In
1.7333333333333354,-2.8750724414585416,1.4020529216842577,In
1.7666666666666688,-2.8751441180196338,1.3998909661912349,In
1.8000000000000023,-2.875192796066269,1.3977137753296387,ObstacleAvoidance
1.8333333333333357,-2.8752882953078194,1.3956270291700748,ObstacleAvoidance
1.8666666666666691,-2.8738764089799,1.3934250417028895,ObstacleAvoidance
1.9000000000000026,-2.8723825115850827,1.3912269986227468,In
1.933333333333336,-2.8708813651732923,1.3890339002080605,In
1.9666666666666694,-2.86941133315476,1.3868809381991936,In
2.0000000000000027,-2.8679381456659168,1.3846994721046357,In
2.033333333333336,-2.8664578704737744,1.3824922096456962,In
2.066666666666669,-2.86500494313971,1.3803276645661877,In
2.1000000000000023,-2.8635478217764785,1.3781658773780394,In
2.1333333333333355,-2.8620709861080327,1.3759869017230233,ObstacleAvoidance
2.1666666666666687,-2.8605737956003456,1.3737910774802136,ObstacleAvoidance
2.200000000000002,-2.859040777319602,1.3715584220777552,ObstacleAvoidance
2.233333333333335,-2.8575591142999137,1.3694134564851197,In
2.2666666666666684,-2.856077071128469,1.3672686315966038,In
2.3000000000000016,-2.8546296958454223,1.3651615251016205,In
2.333333333333335,-2.8531523157413203,1.362982965903326,In
2.366666666666668,-2.8516625133070757,1.3607516230769392,In
2.4000000000000012,-2.850161146500888,1.3584976080642024,In
2.4333333333333345,-2.8486051134477015,1.356188903472833,In
2.4666666666666677,-2.8471740883436523,1.3541012586024916,In
2.500000000000001,-2.8457090653543906,1.3520063006397747,In
2.533333333333334,-2.8441651893860014,1.3498430358243003,In
2.5666666666666673,-2.842585640538838,1.3476743395198565,In
2.6000000000000005,-2.841016037038149,1.345561222088393,In
2.6333333333333337,-2.839381878419831,1.3434015797461478,In
2.666666666666667,-2.8377752978089488,1.3413164471482824,ObstacleAvoidance
2.7,-2.836167882147228,1.3392639217219935,ObstacleAvoidance
2.7333333333333334,-2.834515486474217,1.3371824665024814,ObstacleAvoidance
2.7666666666666666,-2.8328190576345356,1.3350713572171875,ObstacleAvoidance
2.8,-2.831190874611507,1.3330678114900152,ObstacleAvoidance
2.833333333333333,-2.829520577196071,1.3310332940500342,ObstacleAvoidance
2.8666666666666663,-2.827840083185502,1.3290071766664853,ObstacleAvoidance
2.8999999999999995,-2.8261002530139834,1.3269317429123135,In
